Name,Education,Skill,Certification,Job Role,Education_std,Degree,Branch
Person_1,BCA,HTML,Google IT Support,Software Developer,Bca,Bca,
Person_2,BSc Mathematics,Data Analysis,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_3,BTech ECE,,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_4,BTech Civil,AutoCAD,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_5,BTech EE,Power Systems,Power Systems Certification,Electrical Engineer,BTech Ee,BTech,Ee
Person_6,BCA,CSS,Full Stack Web Certification,Web Developer,Bca,Bca,
Person_7,BTech EE,Control Systems,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_8,BSc Chemistry,Research,Lab Safety Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_9,BSc Chemistry,Spectroscopy,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_10,BTech Civil,Structural Analysis,,Structural Engineer,BTech Civil,BTech,Civil
Person_11,BTech EE,Control Systems,Certified Electrician,Control Engineer,BTech Ee,BTech,Ee
Person_12,BTech Mechanical,Manufacturing,SolidWorks Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_13,BTech EE,Control Systems,Certified Electrician,Control Engineer,BTech Ee,BTech,Ee
Person_14,BTech EE,Circuit Design,Certified Electrician,Power Engineer,BTech Ee,BTech,Ee
Person_15,BSc Physics,Data Analysis,Research Methodology,Lab Assistant,BSc Physics,BSc,Physics
Person_16,BTech Mechanical,SolidWorks,,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_17,BTech ECE,VHDL,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_18,BSc Mathematics,Statistics,Actuarial Certification,Statistician,BSc Mathematics,BSc,Mathematics
Person_19,BSc Chemistry,Spectroscopy,Analytical Chemistry Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_20,BSc Mathematics,R Programming,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_21,BSc Mathematics,Statistics,Data Analyst Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_22,BSc Statistics,R,Data Analyst Certification,Statistician,BSc Statistics,BSc,Statistics
Person_23,BSc Chemistry,Spectroscopy,Analytical Chemistry Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_24,BSc Physics,Simulation,Data Science Certification,Lab Assistant,BSc Physics,BSc,Physics
Person_25,BTech Mechanical,Manufacturing,,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_26,BTech EE,,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_27,BTech Civil,Structural Analysis,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_28,BTech Mechanical,Manufacturing,,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_29,BSc Mathematics,Statistics,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_30,BTech CSE,SQL,,Software Engineer,BTech Cse,BTech,Cse
Person_31,BSc Chemistry,Research,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_32,BCA,HTML,,Web Developer,Bca,Bca,
Person_33,BSc Statistics,Data Analysis,SAS Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_34,BTech Civil,STAAD Pro,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_35,BTech ECE,VHDL,Embedded Systems Certification,VLSI Engineer,BTech Ece,BTech,Ece
Person_36,BSc Physics,Simulation,,Data Analyst,BSc Physics,BSc,Physics
Person_37,BCA,HTML,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_38,BTech Civil,STAAD Pro,,Site Engineer,BTech Civil,BTech,Civil
Person_39,BTech EE,Circuit Design,Power Systems Certification,Power Engineer,BTech Ee,BTech,Ee
Person_40,BSc Chemistry,Lab Techniques,,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_41,BCA,HTML,,Web Developer,Bca,Bca,
Person_42,BTech ECE,Signal Processing,,Embedded Engineer,BTech Ece,BTech,Ece
Person_43,BTech CSE,SQL,,Data Scientist,BTech Cse,BTech,Cse
Person_44,BCA,Python,Full Stack Web Certification,Software Developer,Bca,Bca,
Person_45,BTech CSE,Machine Learning,,Software Engineer,BTech Cse,BTech,Cse
Person_46,BCA,HTML,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_47,BSc Chemistry,Lab Techniques,Lab Safety Certification,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_48,BSc Statistics,R,,Data Analyst,BSc Statistics,BSc,Statistics
Person_49,BCA,,Google IT Support,System Analyst,Bca,Bca,
Person_50,BCA,Python,Full Stack Web Certification,Software Developer,Bca,Bca,
Person_51,BTech ECE,MATLAB,CCNA,Embedded Engineer,BTech Ece,BTech,Ece
Person_52,BSc Chemistry,Data Analysis,Lab Safety Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_53,BTech ECE,,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_54,BSc Statistics,Probability,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_55,BSc Statistics,Probability,Data Analyst Certification,Statistician,BSc Statistics,BSc,Statistics
Person_56,BTech ECE,Embedded Systems,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_57,BTech Civil,STAAD Pro,Civil 3D Certification,Site Engineer,BTech Civil,BTech,Civil
Person_58,BTech CSE,SQL,AWS Certified Developer,Software Engineer,BTech Cse,BTech,Cse
Person_59,BSc Statistics,Python,SAS Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_60,BSc Mathematics,Problem Solving,Actuarial Certification,Statistician,BSc Mathematics,BSc,Mathematics
Person_61,BTech EE,Power Systems,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_62,BSc Statistics,Python,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_63,BCA,Python,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_64,BSc Statistics,Probability,SAS Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_65,BTech Civil,Surveying,Autodesk Certified Professional,Civil Engineer,BTech Civil,BTech,Civil
Person_66,BSc Statistics,Data Analysis,SAS Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_67,BTech Mechanical,Manufacturing,SolidWorks Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_68,BTech Mechanical,Thermodynamics,HVAC Design Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_69,BTech ECE,,,Electronics Engineer,BTech Ece,BTech,Ece
Person_70,BTech CSE,SQL,,Backend Developer,BTech Cse,BTech,Cse
Person_71,BTech ECE,MATLAB,Embedded Systems Certification,VLSI Engineer,BTech Ece,BTech,Ece
Person_72,BTech ECE,VHDL,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_73,BTech ECE,MATLAB,Embedded Systems Certification,VLSI Engineer,BTech Ece,BTech,Ece
Person_74,BSc Statistics,Python,SAS Certification,Statistician,BSc Statistics,BSc,Statistics
Person_75,BCA,HTML,Google IT Support,System Analyst,Bca,Bca,
Person_76,BSc Mathematics,Data Analysis,,Statistician,BSc Mathematics,BSc,Mathematics
Person_77,BTech Civil,Surveying,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_78,BTech ECE,,CCNA,Electronics Engineer,BTech Ece,BTech,Ece
Person_79,BTech EE,Circuit Design,,Control Engineer,BTech Ee,BTech,Ee
Person_80,BTech Mechanical,Manufacturing,SolidWorks Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_81,BSc Chemistry,Spectroscopy,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_82,BTech CSE,SQL,,Software Engineer,BTech Cse,BTech,Cse
Person_83,BSc Statistics,Python,SAS Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_84,BSc Chemistry,Research,Analytical Chemistry Certification,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_85,BSc Statistics,Python,,Statistician,BSc Statistics,BSc,Statistics
Person_86,BSc Chemistry,Spectroscopy,Lab Safety Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_87,BCA,HTML,,System Analyst,Bca,Bca,
Person_88,BTech EE,,,Electrical Engineer,BTech Ee,BTech,Ee
Person_89,BTech ECE,Embedded Systems,,VLSI Engineer,BTech Ece,BTech,Ece
Person_90,BSc Physics,Data Analysis,,Lab Assistant,BSc Physics,BSc,Physics
Person_91,BTech EE,MATLAB,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_92,BTech Civil,Structural Analysis,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_93,BTech Mechanical,ANSYS,SolidWorks Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_94,BTech Mechanical,Manufacturing,HVAC Design Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_95,BTech Civil,Surveying,,Civil Engineer,BTech Civil,BTech,Civil
Person_96,BTech EE,MATLAB,Power Systems Certification,Electrical Engineer,BTech Ee,BTech,Ee
Person_97,BSc Mathematics,Data Analysis,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_98,BSc Chemistry,,,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_99,BCA,Python,Google IT Support,,Bca,Bca,
Person_100,BTech CSE,SQL,AWS Certified Developer,Data Scientist,BTech Cse,BTech,Cse
Person_101,BTech Mechanical,,,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_102,BSc Chemistry,Spectroscopy,,Chemist,BSc Chemistry,BSc,Chemistry
Person_103,BSc Mathematics,R Programming,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_104,BTech Civil,AutoCAD,,Structural Engineer,BTech Civil,BTech,Civil
Person_105,BSc Mathematics,Statistics,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_106,BTech Mechanical,SolidWorks,SolidWorks Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_107,BTech ECE,Signal Processing,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_108,BTech CSE,SQL,Oracle Java Certification,Data Scientist,BTech Cse,BTech,Cse
Person_109,BSc Physics,Data Analysis,Data Science Certification,Lab Assistant,BSc Physics,BSc,Physics
Person_110,BSc Statistics,Probability,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_111,BTech ECE,Signal Processing,CCNA,Embedded Engineer,BTech Ece,BTech,Ece
Person_112,BTech EE,Circuit Design,,Power Engineer,BTech Ee,BTech,Ee
